2026-02-04 08:37:58.280 [redisson-3-5][TID: N/A][trace:481238495545765888] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018242547075182592, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type, security_source_coin_type, security_coin_type, security_user_type, security_amount_direct, site_security_balance_account], desc=put
2026-02-04 08:37:58.288 [redisson-3-5][TID: N/A][trace:481238495545765888] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 08:37:59.263 [redisson-3-6][TID: N/A][trace:481238499618435072] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018242547075182592, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[class_status_type, language_type, add_game_one_type, style_two_model, one_model], desc=put
2026-02-04 08:37:59.263 [redisson-3-6][TID: N/A][trace:481238499618435072] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 09:12:54.471 [redisson-3-7][TID: N/A][trace:481247287364792320] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018242547075182592, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-04 09:12:54.472 [redisson-3-7][TID: N/A][trace:481247287364792320] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 09:52:59.381 [redisson-3-8][TID: N/A][trace:481257374468780032] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018242547075182592, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_model, recharge_type, venue_type, language_type, site_type, bank_manager_status, commission_plan], desc=put
2026-02-04 09:52:59.384 [redisson-3-8][TID: N/A][trace:481257374468780032] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 10:02:07.646 [redisson-3-9][TID: N/A][trace:481259674138554368] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018242547075182592, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[venue_type], desc=put
2026-02-04 10:02:07.647 [redisson-3-9][TID: N/A][trace:481259674138554368] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 10:02:15.705 [redisson-3-10][TID: N/A][trace:481259707726540800] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018242547075182592, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[agent_type, agent_category, commission_type, settle_cycle], desc=put
2026-02-04 10:02:15.705 [redisson-3-10][TID: N/A][trace:481259707726540800] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 10:29:42.928 [redisson-3-11][TID: N/A][trace:481266615577436160] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2018260733772746752, instanceId=C2018886667221319680, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[agent_user_benefit], desc=put
2026-02-04 10:29:42.929 [redisson-3-11][TID: N/A][trace:481266615577436160] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-04 10:32:09.409 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  o.s.b.w.e.undertow.UndertowWebServer - Commencing graceful shutdown. Waiting for active requests to complete
2026-02-04 10:32:09.422 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  o.s.b.w.e.undertow.UndertowWebServer - Graceful shutdown complete
2026-02-04 10:32:09.426 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  io.undertow - stopping server: Undertow - 2.3.3.Final
2026-02-04 10:32:09.446 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2026-02-04 10:32:09.562 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  c.a.c.n.r.NacosServiceRegistry - De-registering from Nacos Server now...
2026-02-04 10:32:09.568 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  c.a.c.n.r.NacosServiceRegistry - De-registration finished.
2026-02-04 10:32:09.757 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  com.zaxxer.hikari.HikariDataSource - system-business-biz-ds-pool - Shutdown initiated...
2026-02-04 10:32:09.763 [SpringApplicationShutdownHook][TID: N/A][trace:] INFO  com.zaxxer.hikari.HikariDataSource - system-business-biz-ds-pool - Shutdown completed.
