2026-02-07 08:49:48.393 [redisson-3-11][TID: N/A][trace:482328637777801216] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679321033338880, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 08:49:48.517 [redisson-3-11][TID: N/A][trace:482328637777801216] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 08:55:04.129 [redisson-3-12][TID: N/A][trace:482329961957322753] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679321033338880, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 08:55:04.130 [redisson-3-12][TID: N/A][trace:482329961957322753] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:00:57.192 [redisson-3-13][TID: N/A][trace:482331443230306306] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679321033338880, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 09:00:57.195 [redisson-3-13][TID: N/A][trace:482331443230306306] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:08:52.622 [redisson-3-14][TID: N/A][trace:482333436938186752] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679321033338880, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, commission_type, settle_cycle, commission_operation], desc=put
2026-02-07 09:08:52.623 [redisson-3-14][TID: N/A][trace:482333436938186752] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:31:55.620 [redisson-3-15][TID: N/A][trace:482339237270548480] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679321033338880, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_security_review], desc=put
2026-02-07 09:31:55.623 [redisson-3-15][TID: N/A][trace:482339237270548480] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:32:16.457 [redisson-3-16][TID: N/A][trace:482339324918919169] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679321033338880, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[enable_disable_status], desc=put
