2026-02-07 08:49:48.384 [redisson-3-8][TID: N/A][trace:482328637777801216] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 08:49:48.520 [redisson-3-8][TID: N/A][trace:482328637777801216] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 08:55:04.131 [redisson-3-9][TID: N/A][trace:482329961957322753] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 08:55:04.132 [redisson-3-9][TID: N/A][trace:482329961957322753] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:00:57.189 [redisson-3-10][TID: N/A][trace:482331443230306306] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_status, review_operation, agent_type, agent_change_type, agent_attribution, agent_status, register_way, agent_user_benefit, agent_level, agent_category], desc=put
2026-02-07 09:00:57.194 [redisson-3-10][TID: N/A][trace:482331443230306306] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:08:52.622 [redisson-3-11][TID: N/A][trace:482333436938186752] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, commission_type, settle_cycle, commission_operation], desc=put
2026-02-07 09:08:52.623 [redisson-3-11][TID: N/A][trace:482333436938186752] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:31:55.621 [redisson-3-12][TID: N/A][trace:482339237270548480] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_security_review], desc=put
2026-02-07 09:31:55.623 [redisson-3-12][TID: N/A][trace:482339237270548480] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:32:16.456 [redisson-3-13][TID: N/A][trace:482339324918919169] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[enable_disable_status], desc=put
2026-02-07 09:32:16.459 [redisson-3-13][TID: N/A][trace:482339324918919169] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:32:42.359 [redisson-3-14][TID: N/A][trace:482339433555587072] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[venue_type, platform_class_status_type], desc=put
2026-02-07 09:32:42.360 [redisson-3-14][TID: N/A][trace:482339433555587072] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:32:51.868 [redisson-3-15][TID: N/A][trace:482339473460195328] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type, commission_plan], desc=put
2026-02-07 09:32:51.869 [redisson-3-15][TID: N/A][trace:482339473460195328] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:33:10.820 [redisson-3-16][TID: N/A][trace:482339552946450432] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[bank_manager_status], desc=put
2026-02-07 09:33:10.821 [redisson-3-16][TID: N/A][trace:482339552946450432] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:33:24.857 [redisson-3-1][TID: N/A][trace:482339611771564033] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[ENABLE_DISABLE_TYPE], desc=put
2026-02-07 09:33:24.860 [redisson-3-1][TID: N/A][trace:482339611771564033] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:33:38.364 [redisson-3-2][TID: N/A][trace:482339668306587648] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type], desc=put
2026-02-07 09:33:38.375 [redisson-3-2][TID: N/A][trace:482339668306587648] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:33:46.724 [redisson-3-3][TID: N/A][trace:482339703291277312] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[CURRENCY_DECIMAL_TYPE, ENABLE_DISABLE_TYPE, venue_type, language_type, platform_class_status_type, one_model], desc=put
2026-02-07 09:33:46.724 [redisson-3-3][TID: N/A][trace:482339703291277312] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:35:09.387 [redisson-3-4][TID: N/A][trace:482340050239909888] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[enable_disable_status], desc=put
2026-02-07 09:35:09.387 [redisson-3-4][TID: N/A][trace:482340050239909888] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:35:35.577 [redisson-3-5][TID: N/A][trace:482340159975485440] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[site_type, security_source_coin_type, security_coin_type, security_user_type, security_amount_direct, site_security_balance_account], desc=put
2026-02-07 09:35:35.578 [redisson-3-5][TID: N/A][trace:482340159975485440] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:36:37.329 [redisson-3-6][TID: N/A][trace:482340418940203008] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status, review_operation, agent_manual_adjust_type, agent_wallet_type], desc=put
2026-02-07 09:36:37.330 [redisson-3-6][TID: N/A][trace:482340418940203008] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:36:51.929 [redisson-3-7][TID: N/A][trace:482340480256733184] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[deposit_withdrawal_order_customer_status], desc=put
2026-02-07 09:36:51.930 [redisson-3-7][TID: N/A][trace:482340480256733184] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
2026-02-07 09:36:55.556 [redisson-3-8][TID: N/A][trace:482340495473668096] INFO  c.g.j.l.sync.CacheMessageListener - [SyncCache] receive message, currInstanceId=C2019679614894657536, instanceId=C2019024242846076928, cacheName=l2cache:systemParam, cacheType=caffeine, optType=refresh, key=[lock_status], desc=put
2026-02-07 09:36:55.557 [redisson-3-8][TID: N/A][trace:482340495473668096] WARN  c.g.j.l.sync.CacheMessageListener - [SyncCache] cache is not exists or not instanced, cacheType=caffeine, cacheName=l2cache:systemParam
